,slice,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,method
168,40,0.0,0.0,0.95131576,0.99219555,0.00780446,0.92258614,0.93673074,0.9717557,0.11736035,0.011445313,Majority Voting No T1
169,41,0.0,0.0,0.93333334,0.9925862,0.007413793,0.9286899,0.93100584,0.96295977,0.11736035,0.01296875,Majority Voting No T1
170,42,0.0,0.0,0.9319728,0.99463224,0.005367733,0.94944966,0.94063,0.96330255,0.11736035,0.011484375,Majority Voting No T1
171,43,0.0,0.0,0.9399293,0.9921919,0.0078080944,0.9300699,0.93497366,0.96606064,0.11736035,0.013007812,Majority Voting No T1
172,44,0.0,0.0,0.9626572,0.98933035,0.010669674,0.90871984,0.93491125,0.97599375,0.11736035,0.013320313,Majority Voting No T1
173,45,0.0,0.0,0.9518533,0.9896445,0.01035548,0.91278857,0.9319117,0.9707489,0.11736035,0.01421875,Majority Voting No T1
174,46,0.0,0.0,0.95884144,0.9882486,0.011751393,0.90308684,0.9301294,0.973545,0.11736035,0.014765625,Majority Voting No T1
175,47,0.0,0.0,0.9523265,0.9861607,0.013839325,0.88703376,0.9185212,0.9692436,0.11736035,0.017304687,Majority Voting No T1
176,48,0.0,0.0,0.9574953,0.98284346,0.017156543,0.86492974,0.9088617,0.97016937,0.11736035,0.019765625,Majority Voting No T1
177,49,0.0,0.0,0.95571536,0.98074746,0.019252548,0.85102797,0.90033877,0.9682314,0.11736035,0.021835938,Majority Voting No T1
178,50,0.0,0.0,0.9565056,0.97983414,0.020165866,0.84777594,0.8988646,0.96816987,0.11736035,0.022617187,Majority Voting No T1
179,51,0.0,0.0,0.95588756,0.9851683,0.014831717,0.8882645,0.9208362,0.97052795,0.11736035,0.018046875,Majority Voting No T1
180,52,0.0,0.0,0.945505,0.9856508,0.014349223,0.89311475,0.9185635,0.9655779,0.11736035,0.018867187,Majority Voting No T1
181,53,0.0,0.0,0.95131576,0.98820925,0.01179078,0.91576946,0.93320423,0.9697625,0.11736035,0.016171874,Majority Voting No T1
182,54,0.0,0.0,0.9531048,0.98969257,0.010307446,0.9270211,0.939882,0.97139865,0.11736035,0.014726562,Majority Voting No T1
183,55,0.0,0.0,0.9707006,0.98557436,0.014425646,0.9039146,0.93611795,0.9781375,0.11736035,0.01625,Majority Voting No T1
184,56,0.0,0.0,0.97888434,0.9855977,0.014402283,0.90580344,0.94092697,0.98224103,0.11736035,0.015234375,Majority Voting No T1
185,57,0.0,0.0,0.9730323,0.9891125,0.01088751,0.9270989,0.9495104,0.98107237,0.11736035,0.012890625,Majority Voting No T1
186,58,0.0,0.0,0.98518974,0.9877007,0.012299297,0.9207036,0.9518557,0.98644525,0.11736035,0.012617188,Majority Voting No T1
187,59,0.0,0.0,0.9839208,0.9912367,0.008763301,0.9419775,0.96249247,0.98757875,0.11736035,0.0096875,Majority Voting No T1
188,60,0.0,0.0,0.9693271,0.9915644,0.008435617,0.94248325,0.9557167,0.98044574,0.11736035,0.011210937,Majority Voting No T1
189,61,0.0,0.0,0.98087347,0.9906068,0.0093932245,0.93582726,0.957821,0.9857401,0.11736035,0.010585938,Majority Voting No T1
190,62,0.0,0.0,0.9586671,0.9927488,0.0072512124,0.94833595,0.95347357,0.97570795,0.11736035,0.01140625,Majority Voting No T1
191,63,0.0,0.0,0.92522097,0.9902021,0.009797864,0.9245924,0.92490655,0.9577115,0.11736035,0.017265625,Majority Voting No T1
192,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
193,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
194,2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
195,3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
196,4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
197,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
198,6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
199,7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
200,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
201,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
202,10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
203,11,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
204,12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
205,13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
206,14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
207,15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
208,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
209,17,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
210,18,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
211,19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
212,20,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
213,21,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
214,22,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
215,23,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
216,24,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
217,25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13031518,0.0,Majority Voting No T1c
218,26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.13031518,0.0019140625,Majority Voting No T1c
219,27,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.13031518,0.005078125,Majority Voting No T1c
220,28,0.0,0.0,0.17886178,1.0,0.0,1.0,0.3034483,0.58943087,0.13031518,0.007890625,Majority Voting No T1c
221,29,0.0,0.0,0.17799352,1.0,0.0,1.0,0.3021978,0.58899677,0.13031518,0.009921875,Majority Voting No T1c
222,30,0.0,0.0,0.20737328,1.0,0.0,1.0,0.34351146,0.60368663,0.13031518,0.0134375,Majority Voting No T1c
